GameDate,HomeTeam,HomePoints,VisitorTeam,VisitorPoints,HomeTurnovers,HomeTotalRebounds,HomeOffensiveRebounds,HomeDefensiveRebounds,HomeThreePointersAttempted,HomeThreePointersMade,HomeThreePointerPercentage,HomeFreeThrowsAttempted,HomeFreeThrowsMade,HomeFreeThrowPercentage,FieldGoalsAttempted,HomeFieldGoalsMade,HomeFieldGoalPercentage,HomeAssists,HomeSteals,HomeBlocks,HomePersonalFouls,VisitorTurnovers,VisitorTotalRebounds,VisitorOffensiveRebounds,VisitorDefensiveRebounds,VisitorThreePointersAttempted,VisitorThreePointersMade,VisitorThreePointerPercentage,VisitorFreeThrowsAttempted,VisitorFreeThrowsMade,VisitorFreeThrowPercentage,VisitorFieldGoalsAttempted,VisitorFieldGoalsMade,VisitorFieldGoalPercentage,VisitorAssists,VisitorSteals,VisitorBlocks,VisitorPersonalFouls
2016-11-03,Golden State Warriors,122,Oklahoma City Thunder,96,16,46,15,31,30,14,0.467,20,16,0.8,89,46,0.517,27,9,14,18,16,41,13,28,27,10,0.37,28,16,0.571,87,35,0.402,20,8,6,20
2016-11-03,Milwaukee Bucks,125,Indiana Pacers,107,21,41,12,29,27,12,0.444,24,19,0.792,82,47,0.573,32,10,6,23,21,32,10,22,23,10,0.435,27,21,0.778,81,38,0.469,29,14,4,23
2016-11-03,Minnesota Timberwolves,99,Denver Nuggets,102,16,43,14,29,22,9,0.409,25,20,0.8,88,35,0.398,20,8,4,22,22,44,7,37,22,6,0.273,25,18,0.72,81,39,0.481,24,10,2,24
2016-11-03,Orlando Magic,102,Sacramento Kings,94,14,44,13,31,30,10,0.333,23,16,0.696,84,38,0.452,24,5,4,14,14,39,11,28,18,7,0.389,17,11,0.647,80,38,0.475,17,8,1,23
2016-11-04,Brooklyn Nets,95,Charlotte Hornets,99,16,46,7,39,36,9,0.25,21,16,0.762,87,35,0.402,20,12,4,22,16,49,7,42,30,10,0.333,24,17,0.708,86,36,0.419,24,7,3,18
2016-11-04,Chicago Bulls,104,New York Knicks,117,13,42,15,27,23,8,0.348,27,22,0.815,84,37,0.44,15,4,4,16,5,40,11,29,21,9,0.429,21,16,0.762,89,46,0.517,32,7,2,23
2016-11-04,Dallas Mavericks,95,Portland Trail Blazers,105,13,44,7,37,28,10,0.357,20,17,0.85,83,34,0.41,18,5,3,21,14,42,7,35,31,12,0.387,26,21,0.808,80,36,0.45,21,9,3,20
2016-11-04,Los Angeles Lakers,117,Golden State Warriors,97,16,51,16,35,30,8,0.267,21,19,0.905,95,45,0.474,26,9,5,19,20,40,9,31,32,5,0.156,20,14,0.7,86,39,0.453,26,13,3,13
2016-11-04,Memphis Grizzlies,88,Los Angeles Clippers,99,19,48,13,35,26,9,0.346,22,17,0.773,84,31,0.369,26,4,9,28,12,47,11,36,27,8,0.296,33,27,0.818,85,32,0.376,19,17,6,23
2016-11-04,New Orleans Pelicans,111,Phoenix Suns,112,9,43,6,37,30,10,0.333,28,15,0.536,94,43,0.457,28,7,13,21,16,59,12,47,24,8,0.333,28,24,0.857,93,40,0.43,18,7,2,27
2016-11-04,Toronto Raptors,96,Miami Heat,87,16,50,13,37,25,6,0.24,18,16,0.889,84,37,0.44,14,7,5,16,13,43,12,31,28,9,0.321,15,10,0.667,88,34,0.386,19,10,5,22
2016-11-04,Utah Jazz,86,San Antonio Spurs,100,12,42,9,33,26,11,0.423,24,15,0.625,80,30,0.375,15,7,4,19,11,49,9,40,20,6,0.3,22,20,0.909,83,37,0.446,17,9,8,25
2016-11-04,Washington Wizards,95,Atlanta Hawks,92,19,46,11,35,20,5,0.25,35,28,0.8,80,31,0.388,13,7,3,23,18,47,10,37,25,5,0.2,36,23,0.639,83,32,0.386,22,12,3,24
2016-11-05,Atlanta Hawks,112,Houston Rockets,97,20,44,13,31,20,8,0.4,24,14,0.583,85,45,0.529,29,17,6,13,26,43,12,31,36,12,0.333,13,11,0.846,85,37,0.435,22,9,7,26
2016-11-05,Detroit Pistons,103,Denver Nuggets,86,14,47,9,38,20,7,0.35,22,16,0.727,84,40,0.476,22,9,9,16,16,48,16,32,25,7,0.28,20,17,0.85,94,31,0.33,15,8,2,15
2016-11-05,Indiana Pacers,111,Chicago Bulls,94,12,36,8,28,26,12,0.462,12,7,0.583,86,46,0.535,27,8,9,20,18,40,13,27,18,6,0.333,25,20,0.8,79,34,0.43,17,8,5,13
2016-11-05,Milwaukee Bucks,117,Sacramento Kings,91,17,53,17,36,33,14,0.424,25,21,0.84,82,41,0.5,28,12,10,22,15,36,13,23,28,10,0.357,19,15,0.789,84,33,0.393,27,8,3,19
2016-11-05,Oklahoma City Thunder,112,Minnesota Timberwolves,92,12,41,11,30,16,7,0.438,24,15,0.625,86,45,0.523,24,9,9,21,17,41,17,24,19,4,0.211,29,22,0.759,84,33,0.393,12,7,8,19
2016-11-05,Orlando Magic,88,Washington Wizards,86,9,43,10,33,28,9,0.321,27,17,0.63,78,31,0.397,21,4,6,16,11,49,14,35,17,6,0.353,17,12,0.706,86,34,0.395,11,4,5,23
2016-11-05,Philadelphia 76ers,101,Cleveland Cavaliers,102,17,45,5,40,38,14,0.368,12,7,0.583,87,40,0.46,21,9,9,23,16,49,11,38,38,14,0.368,18,14,0.778,91,37,0.407,23,10,5,15
2016-11-05,San Antonio Spurs,92,Los Angeles Clippers,116,15,40,7,33,25,10,0.4,25,22,0.88,74,30,0.405,19,5,5,18,9,41,7,34,23,9,0.391,14,13,0.929,91,47,0.516,24,8,6,19
2016-11-06,Boston Celtics,107,Denver Nuggets,123,12,39,11,28,25,8,0.32,21,17,0.81,90,41,0.456,31,3,4,24,18,47,9,38,23,11,0.478,31,24,0.774,84,44,0.524,21,7,6,23
2016-11-06,Dallas Mavericks,86,Milwaukee Bucks,75,16,46,10,36,38,9,0.237,12,11,0.917,88,33,0.375,14,12,2,20,27,51,9,42,29,6,0.207,12,9,0.75,82,30,0.366,14,11,2,26
2016-11-06,Los Angeles Lakers,119,Phoenix Suns,108,19,53,15,38,23,10,0.435,35,27,0.771,90,41,0.456,22,8,5,22,18,40,11,29,20,6,0.3,28,22,0.786,91,40,0.44,20,8,2,30
2016-11-06,Memphis Grizzlies,94,Portland Trail Blazers,100,13,44,12,32,26,6,0.231,32,26,0.813,81,31,0.383,15,9,5,20,15,37,5,32,33,14,0.424,27,22,0.815,71,32,0.451,19,7,5,25
2016-11-06,New York Knicks,109,Utah Jazz,114,13,39,10,29,20,8,0.4,19,17,0.895,83,42,0.506,18,8,5,26,11,34,7,27,25,8,0.32,35,30,0.857,75,38,0.507,21,6,4,19
2016-11-06,Toronto Raptors,91,Sacramento Kings,96,6,43,13,30,30,7,0.233,31,24,0.774,84,30,0.357,22,6,5,26,11,47,13,34,16,5,0.313,31,23,0.742,78,34,0.436,21,4,5,22
2016-11-07,Charlotte Hornets,122,Indiana Pacers,100,12,43,3,40,32,12,0.375,32,28,0.875,84,41,0.488,30,12,4,15,18,52,12,40,33,9,0.273,15,11,0.733,94,40,0.426,23,8,4,25
2016-11-07,Chicago Bulls,112,Orlando Magic,80,9,56,15,41,19,3,0.158,31,25,0.806,89,42,0.472,26,7,4,11,15,39,6,33,30,9,0.3,6,5,0.833,85,33,0.388,28,6,6,23
2016-11-07,Golden State Warriors,116,New Orleans Pelicans,106,15,38,10,28,35,16,0.457,12,10,0.833,90,45,0.5,35,14,4,17,20,43,11,32,21,7,0.333,27,21,0.778,80,39,0.488,26,8,1,16
2016-11-07,Los Angeles Clippers,114,Detroit Pistons,82,12,46,2,44,25,13,0.52,22,19,0.864,76,41,0.539,28,8,7,20,11,39,11,28,12,4,0.333,26,18,0.692,82,30,0.366,14,5,2,19
2016-11-07,Oklahoma City Thunder,97,Miami Heat,85,18,47,10,37,28,9,0.321,17,14,0.824,85,37,0.435,24,8,5,18,12,41,12,29,17,4,0.235,22,19,0.864,84,31,0.369,12,8,7,16
2016-11-07,Philadelphia 76ers,84,Utah Jazz,109,18,42,9,33,21,7,0.333,22,15,0.682,77,31,0.403,16,5,2,19,10,45,10,35,19,11,0.579,20,12,0.6,85,43,0.506,20,10,11,22
2016-11-07,Washington Wizards,106,Houston Rockets,114,16,45,16,29,27,10,0.37,20,18,0.9,94,39,0.415,20,12,5,16,18,37,6,31,37,17,0.459,18,15,0.833,79,41,0.519,28,6,7,18
2016-11-08,Brooklyn Nets,119,Minnesota Timberwolves,110,21,43,5,38,33,12,0.364,26,23,0.885,76,42,0.553,20,5,5,19,17,41,15,26,28,12,0.429,28,20,0.714,92,39,0.424,20,11,3,21
2016-11-08,Cleveland Cavaliers,106,Atlanta Hawks,110,6,39,13,26,42,11,0.262,25,21,0.84,99,37,0.374,21,12,1,20,19,50,11,39,29,11,0.379,24,17,0.708,81,41,0.506,22,1,4,21
2016-11-08,Los Angeles Lakers,97,Dallas Mavericks,109,17,37,8,29,26,10,0.385,14,11,0.786,78,38,0.487,20,6,1,19,11,37,8,29,23,10,0.435,15,13,0.867,82,43,0.524,24,11,4,12
2016-11-08,Memphis Grizzlies,108,Denver Nuggets,107,14,32,8,24,24,7,0.292,19,13,0.684,86,44,0.512,29,14,5,30,22,39,6,33,24,10,0.417,34,27,0.794,70,35,0.5,24,6,4,23
2016-11-08,Portland Trail Blazers,124,Phoenix Suns,121,20,35,7,28,31,14,0.452,28,20,0.714,81,45,0.556,22,5,4,27,16,41,15,26,21,7,0.333,33,28,0.848,86,43,0.5,18,10,2,27
2016-11-08,Sacramento Kings,102,New Orleans Pelicans,94,10,39,5,34,25,8,0.32,20,16,0.8,81,39,0.481,24,7,5,21,11,40,7,33,21,5,0.238,18,13,0.722,84,38,0.452,23,5,9,23
2016-11-09,Atlanta Hawks,115,Chicago Bulls,107,23,48,13,35,20,9,0.45,27,22,0.815,83,42,0.506,24,8,7,20,14,31,8,23,27,9,0.333,21,16,0.762,91,41,0.451,24,14,3,21
2016-11-09,Charlotte Hornets,104,Utah Jazz,98,9,37,5,32,26,8,0.308,29,20,0.69,82,38,0.463,24,8,3,19,14,46,10,36,34,8,0.235,18,14,0.778,82,38,0.463,24,5,6,22
2016-11-09,Golden State Warriors,116,Dallas Mavericks,95,15,39,5,34,33,17,0.515,22,13,0.591,74,43,0.581,33,3,5,22,7,42,13,29,28,6,0.214,28,21,0.75,86,34,0.395,20,10,2,20
2016-11-09,Indiana Pacers,122,Philadelphia 76ers,115,16,43,7,36,19,9,0.474,20,15,0.75,90,49,0.544,25,9,6,17,17,43,10,33,36,14,0.389,19,9,0.474,95,46,0.484,23,11,6,21
2016-11-09,Los Angeles Clippers,111,Portland Trail Blazers,80,7,55,14,41,32,11,0.344,33,24,0.727,87,38,0.437,24,9,7,15,14,47,11,36,30,6,0.2,14,12,0.857,88,31,0.352,16,4,3,23
2016-11-09,New York Knicks,110,Brooklyn Nets,96,14,50,9,41,30,10,0.333,17,12,0.706,92,44,0.478,25,11,5,21,18,40,7,33,33,11,0.333,27,19,0.704,79,33,0.418,19,9,4,20
2016-11-09,Oklahoma City Thunder,102,Toronto Raptors,112,21,39,11,28,34,12,0.353,31,28,0.903,74,31,0.419,18,6,5,21,13,35,7,28,26,11,0.423,22,15,0.682,83,43,0.518,25,10,6,24
2016-11-09,Orlando Magic,107,Minnesota Timberwolves,123,9,39,12,27,24,8,0.333,30,23,0.767,85,38,0.447,20,2,5,19,7,45,10,35,23,13,0.565,26,20,0.769,87,45,0.517,27,8,5,23
2016-11-09,Phoenix Suns,107,Detroit Pistons,100,18,49,10,39,22,8,0.364,30,23,0.767,84,38,0.452,20,7,6,20,12,41,9,32,22,9,0.409,32,27,0.844,89,32,0.36,20,11,5,24
2016-11-09,San Antonio Spurs,99,Houston Rockets,101,10,39,10,29,23,7,0.304,30,26,0.867,84,33,0.393,22,14,5,15,20,45,8,37,30,10,0.333,22,17,0.773,78,37,0.474,25,7,4,24
2016-11-09,Washington Wizards,118,Boston Celtics,93,12,54,19,35,21,10,0.476,20,16,0.8,92,46,0.5,29,9,7,26,11,31,7,24,31,10,0.323,22,13,0.591,81,35,0.432,21,5,4,19
2016-11-10,Denver Nuggets,101,Golden State Warriors,125,19,44,17,27,36,13,0.361,17,12,0.706,94,38,0.404,26,7,3,18,15,44,9,35,30,14,0.467,20,19,0.95,85,46,0.541,33,15,6,18
2016-11-10,Miami Heat,95,Chicago Bulls,98,13,46,14,32,29,13,0.448,15,10,0.667,88,36,0.409,22,8,5,19,12,48,12,36,16,6,0.375,20,18,0.9,89,37,0.416,18,7,2,12
